codigo_cnes,numero_cnpj_entidade,nome_razao_social,nome_fantasia,natureza_organizacao_entidade,tipo_gestao,descricao_nivel_hierarquia,descricao_esfera_administrativa,codigo_tipo_unidade,codigo_cep_estabelecimento,endereco_estabelecimento,numero_estabelecimento,bairro_estabelecimento,numero_telefone_estabelecimento,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,endereco_email_estabelecimento,numero_cnpj,codigo_identificador_turno_atendimento,descricao_turno_atendimento,estabelecimento_faz_atendimento_ambulatorial_sus,codigo_estabelecimento_saude,codigo_uf,codigo_municipio,descricao_natureza_juridica_estabelecimento,codigo_motivo_desabilitacao_estabelecimento,estabelecimento_possui_centro_cirurgico,estabelecimento_possui_centro_obstetrico,estabelecimento_possui_centro_neonatal,estabelecimento_possui_atendimento_hospitalar,estabelecimento_possui_servico_apoio,estabelecimento_possui_atendimento_ambulatorial,codigo_atividade_ensino_unidade,codigo_natureza_organizacao_unidade,codigo_nivel_hierarquia_unidade,codigo_esfera_administrativa_unidade,data_atualizacao
9632077,,CLINICA MEDICA ALCANTARA E HACKBART,ALCANTARA E HACKBART SS,,M,,MUNICIPAL,22,84261400,AVENIDA PRESIDENTE KENNEDY,764,CENTRO,,-24.324,-50.616,,12429354000135,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4127109632077,41,412710,2062,08,0,0,0,0,1,0,04,,,M ,2026-02-14
9632115,,J3R CLINICA MEDICA LTDA,J3R CLINICA MEDICA LTDA,,M,,MUNICIPAL,22,84261050,AVENIDA SAMUEL KLABIN,518,CENTRO,,-24.324,-50.616,,28385059000164,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4127109632115,41,412710,2062,11,0,0,0,0,1,0,04,,,M ,2025-09-03
9632123,,SCHIAVINI ZAKI CONSULTORIO MEDICO S S,FARIA SCHIAVINI,,M,,MUNICIPAL,22,80240031,IGUACU,2820,AGUA VERDE,41 32856103,-25.449116489993504,-49.28833454847336,calixtoprocs@gmail.com,11121947000177,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4106909632123,41,410690,2062,,0,0,0,0,1,0,04,,,M ,2025-09-03
4118758,,OLIVEIRA VIANA ODONTOLOGIA LTDA,TIJUCAS CENTRO ODONTOLOGICO,,M,,MUNICIPAL,36,80020020,LUIZ XAVIER,68,CENTRO,41 30930088,-25.431775394062424,-49.274412474278826,JOAOANTONIOOVS@GMAIL.COM,22854105000140,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4106904118758,41,410690,2062,04,0,0,0,0,1,0,04,,,M ,2025-12-13
9632247,,GENAINE DOS SANTOS SARTOR E CIA LTDA,FARMACIA PARIZOTTO,,M,,MUNICIPAL,43,85710000,BRASIL,744,CENTRO,46 99764455,-26.07106604698572,-53.725504875183105,escritorio_modelo@brturbo.com.br,12949157000147,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4124409632247,41,412440,2062,,0,0,0,0,1,0,04,,,M ,2025-09-03
9632395,,ANA CAROLINE DAS NEVES PSICOLOGIA,ANA CAROLINE DAS NEVES PSICOLOGIA,,M,,MUNICIPAL,22,85010020,PADRE CHAGAS,2954,CENTRO,42 36233464,-25.3746896,-51.4468886,guisimoesb@hotmail.com,30865036000107,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4109409632395,41,410940,2135,,0,0,0,0,0,0,04,,,M ,2025-09-03
9632484,,ASSOCICAO DOS AMIGOS DA ESCOLA ESPECIAL PROFESSORA ROZABINI,A A E E,,D,,DUPLA,36,83501000,RUA ATHAIDE DE SIQUEIRA,117,CENTRO,,-25.325,-49.31,escolaespecialrozabini@hotmail.com,02909779000198,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4100409632484,41,410040,3999,10,0,0,0,0,0,0,04,,,D ,2025-09-03
9632905,,ANNA ELISA FONSECA LEME PSICOLOGIA,CLINICA LEME,,M,,MUNICIPAL,22,86610000,PARA,321,CENTRO,43 99121548,-23.1050326,-51.5342912,annaelisa_leme@hotmail.com,28440191000121,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4111909632905,41,411190,2062,04,0,0,0,0,0,0,04,,,M ,2025-09-03
9633057,,KNUTRI ASSESSORIA EM NUTRICAO LTDA,KNUTRI,,M,,MUNICIPAL,22,86609000,RUA GETULIO VARGAS,565,SAO MARTINHO,(43) 32401359,-23.19473825774299,-51.442580223083496,marcato.carina@bol.com.br,29201491000110,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4122409633057,41,412240,2062,,0,0,0,0,1,0,04,,,M ,2025-09-03
9633154,,LABORATORIO DE ANALISES CLINICAS OSWALDO CRUZ LTDA,LABORATORIO OSWALDO CRUZ UNIDADE II,,M,,MUNICIPAL,39,87701310,DISTRITO FEDERAL,1404,CENTRO,44 34235656,-23.084350891057063,-52.46617555618286,oswaldocruzpvai@gmail.com,79710737000239,03,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,NAO,4118409633154,41,411840,2062,,0,0,0,0,0,0,04,,,M ,2025-09-03
